Lab ID,,,,Teaching,Marking
33bd8991e0ffd98bdda982aa8c03d7a8,F,11:00,12:00,600306,600306
46801ee90146538d7e9165fb4494e57b,W,16:00,17:00,600310,600308
20c3187ff3186ffddaf5854468a42941,M,10:30,13:30,600201,600099
b4632f29a14eede49d4acd5b055b314e,T,12:00,14:00,500064,500064;600311
0833e00928e7bf20594421a33394820f,T,8:00,10:00,600116,600296;600116
ea5775bb0b74cae8702993fb5fe15ec9,F,12:00,14:00,600117,600117;600206
06a3b7b7be66136bf773713e1044864e,R,10:00,12:00,600146,600146;600116
d27535b1af98cbac83738eee21be9252,R,14:00,16:00,600148,600148;600101
c11bf7e9cbff2b64b8a5a1829c76d597,M,8:00,10:00,600200,600116;600200
b6df4a1d81f0ef32cdecfc4b5449dffb,W,8:00,10:00,600296,600296;600101
7c8bdb0cb7af32bebd8ad4f3402a1aec,T,14:00,16:00,600296,600296;600101
f3814d58980e96030759b4addad96f84,F,12:00,14:00,600305,600116;600305
7750f3af80f9ec69fe3dd3f1a946d67c,M,10:00,12:00,500004,500004
559a4a35db5d5d4548da9532253ae5ae,W,12:00,14:00,500021,600106
0531015c4b2c5f6512e2630a7516d012,F,12:00,14:00,500077,500077
8e1658f64e00d87ee5bd22daa29eac43,M,12:00,14:00,500077,500077
2ae64a6e2d540bba056b373f4ca2c7a1,R,16:00,18:00,500092,500092
a1456cd68eafb8003e712e2946bd2a88,M,16:00,18:00,600096,500077
99a78381847df89b530a27b0c03540a1,W,16:00,18:00,600119,500021
e538e957b60e5096b61c6336bcd75224,F,10:00,12:00,600119,600119
0b2184b0ed8d0f05ff9d0b8b2e78673c,W,12:00,14:00,600144,600144
53b8a13a8386d46d601bf19be94c9bad,F,8:00,10:00,500171,500171
16dcba1558ebf9db304a153561643c17,F,10:00,12:00,500176,500171
8e1dd61a28487ec6e355c623a25b4144,R,12:30,16:30,600098,600299
782a7e67e2721b077603bbeecea298a0,W,8:30,9:30,600299,600299
05c914848733d2efd473aa827618443b,T,12:30,16:30,600098,600098
d3fa50ec4f98ada70a55bf52b7ccd9d1,M,8:30,9:30,600098,600300
5a619dc201be64d9fd65f83b447aed47,M,8:30,9:30,600105,600105
535b798647f51c31415c6504d8a7d7c2,M,12:30,16:30,600314,600314
9c57ade2766d68b272558dd637680d15,M,8:30,9:30,600096,600096
f50700d5b91ad64bf32608cd95e09491,M,12:30,16:30,600104,600096
50b79399198d0b42169792573d117ea7,M,9:00,10:00,500001,500001
3c3ebac48128ceb512dd45e5c5a6fa54,R,9:30,12:30,500047,500047
04c20035d213ab5d1f00313f01aa5bc1,T,18:30,21:30,500047,500047
ab17dc06c1a9e5ba44fe4dab2b6c0d8a,W,13:00,14:00,500057,500057
567314d16eb7b347790b178bf6b99938,F,15:00,16:00,500057,500057
61942835c18a6fb5091f7981cc6c65f9,M,17:00,18:00,500057,600315
0b5784fa5d0d1ee15addc78fa0171332,M,13:00,16:00,500153,500153
29e0619f06c8fac883f10d2facc1bfba,S,12:00,14:00,500166,500166
d329c9f3300f050fd15ddfbdd35e0df8,F,10:00,11:00,500222,500222
c65724dff41edf287a029bfab09762eb,T,9:30,12:30,500222,500222
078cfaec2591eb37b8a2c097b66f4a4d,W,18:30,21:30,500227,500227
05cbea51a4e4876286043d9ccfe3ccfa,W,9:00,10:00,500227,500227
785d749bfbad30e1258fe035006fbc6e,T,14:30,17:30,600102,600115
dbd4c7586384432af9004057989b7ca7,W,13:00,16:00,600102,600315
603d90655ae24feadd574a16e6c10df4,M,11:00,12:00,600102,600108
8e0a04292f4d3f27d1ec004fe7f5a243,R,14:30,17:30,600115,600115
07ab91bd30402c46ea6343a7e66a1010,M,15:00,16:00,600115,600115
6c82edbf2d456f65944706884843799f,W,13:00,16:00,600197,600197
ef9bafa3827aa08d5f9adaf0592f0d5d,T,14:30,17:30,600197,600197
b9700e9630aa8acd76cf375fe91fcc69,R,18:30,21:30,600301,600301
4b1121acc7d2cfc3f70a7d95363a38c6,T,18:30,21:30,600301,600301
33b82b566939899a2326cb13a0080d5d,W,9:00,12:00,600301,600315
e3bc7afe1da355c9fe05258c65021b54,M,18:30,21:30,600309,600309
9db8baf87e06b0cbc9ed71e5ca661c74,F,9:30,12:30,600313,500047
3662345053dd56fb0113b5922b67cab5,W,9:00,12:00,600315,600315
bc537fe80d72226f2b7a6aacefc3688d,M,16:00,18:00,500036,600147
219e819c167d38a2b6907f5122df9115,F,12:00,14:00,500088,500088
ee009eae6c1822cb205a5eca99679e1d,F,12:00,14:00,600111,600111
a4ed2491f295afa4253f3694bb752387,M,8:00,10:00,600143,600149
d1af1ec75bf7022de61b699902e34824,M,8:00,10:00,600143,600304
0144c679e0b849d97303702be77e8bb3,M,10:00,12:00,600149,600149
cd75b5805e1156f3ceac97f87dc787f7,M,16:00,18:00,600149,600149
73104a995481d4b4a5f0380ae2dfc215,M,10:00,12:00,600202,600202
9f280527945f5c177862ed85d902f58f,R,8:00,10:00,500054,500054
a158069471f4d1c493b5723e956c6ed6,M,16:00,18:00,500054,500054
599c510895a3f5fb897361c66cc7861d,M,14:00,16:00,600103,600147
0daff1d381b91c6f520468fb63a4764f,M,10:00,12:00,600207,500054
d32263aa8af27de61755100b33a99d2a,W,12:00,14:00,600304,500002
0081cddc4320f3ccca19620fc0fee319,F,14:00,16:00,600304,600304
166a2d59b59b9f798981834bfd949b64,M,12:00,14:00,600308,500002
85b9eb6f231190585fe023e614b15c0b,R,8:30,9:30,600103,600104
3cf5b286bb8606c0c5831c6032bcb27c,W,12:30,16:30,600104,600104
9a71e6223a1a763012557ee00714fe12,R,14:30,17:30,500044,500044
adcbc12fe370ee2fe8eaa1c34b1db13d,M,14:30,17:30,500058,500295
df87a1e1a88c3487c46a9636ad3d80b6,T,9:30,12:30,500058,600118
0c68666a535facaba52f68a3427b4d09,T,11:00,12:00,500058,500058
bbef673e3d9afff35f49b0157327e3a7,F,8:00,9:00,500058,500044
bca927e3d3b080adff7a59983d9f2709,F,9:30,12:30,500072,500072
b3950ee52448bb6bcb55f414beebba43,R,18:30,21:30,500072,500072
c16d47fb6a077b71d041b1f59ed4e021,W,16:00,17:00,500072,600107
0fe9183b3b607c3f77c71167c4389395,W,14:30,17:30,500085,500085
d0f36d470ab65c7aaa884458d47f6a38,R,14:30,17:30,500085,500085
7535fc4c25d885160a7a0fa06adfbe1a,F,10:00,11:00,500162,500162
c491dcaebf2494992a5de4052583d331,W,12:00,13:00,500162,500162
b16b7034656bee433b948d5bcee7c928,T,14:30,17:30,500225,500225
8aea4687cd3f93cf273849f53af6062b,M,14:00,15:00,500225,600110
7a20e285f873bc7c2683f0ee211edb98,W,8:00,9:00,500267,500267
842d21282671e4cd5b843b55fd1b29b6,M,8:00,9:00,500281,500281
72789ee7e9d73d7cc0dfa3345c2c3b9b,R,18:30,21:30,500281,500281
aa7791e02978ec7b6ba748ffe4200492,T,18:30,21:30,500295,500295
db9501cfc56de2088f100c971ff16b93,S,12:00,14:00,600099,500044
4a421a51fbc11fc8409716bfca275fc2,T,18:30,21:30,600099,600110
2d849d37057fcb395ef0afee75636305,R,9:30,12:30,600102,500267
59a56d9857ee0bd8f9130d90ad277cf2,M,16:00,17:00,600107,600107
5c063ec4bd7ddb800fd00422ac021b58,T,14:30,17:30,600109,600109
076108dda59eccc6fdb532e5952ac60a,M,11:00,12:00,600109,600109
1036ff1394b85436d43e84da515d82fb,M,14:30,17:30,600110,600099
4fd1f1d2b6249628bcf5cdef3b296755,M,9:00,10:00,600110,600110
7be9a627ec4b29803e53d3d26ed1a764,W,9:30,12:30,600118,600118
e1081587b9264b2747d6041681071338,W,18:30,21:30,600198,500044
3ba0a6bbb70de1514f9011dd13b3a8da,W,9:30,12:30,600203,600203
01bca93b9c7390eb4257fa09207c24c1,M,18:30,21:30,600203,600203
16b3401ab947d8618f00348da5fbfb44,T,12:00,13:00,600203,600307
19f17bd6b3db027c710f6fbdcb971f41,M,18:30,21:30,600204,600204
7c633a3b3014303117f9ff70e23e7066,T,9:30,12:30,600204,600204
a3140fe2182742811b9923474227562f,W,18:30,21:30,600204,600109
89670ca26b796cfcdd28a8e1d543f942,R,9:30,12:30,600307,600307
49a20a244006ff51ae0c5391b02f3bca,F,9:00,10:00,600307,600307
e38373d811d9bd6b97d3b6bc1163ec71,WF,9:30,11:00,600206,600305
4654ddea9340be9a4d95fad29caae8d1,R,9:00,10:00,600114,600114
a7d458d3596389476e8f1e242ebcebd8,W,12:00,13:00,600144,600144
7b2bf4363853a4a0706cf8e12b10cd68,M,12:00,13:00,600298,600298
affeb19499c3d2292569a7b0956add91,M,10:00,11:00,600311,600311
de000b6f581db27d4f61f1982cb5f8ce,M,14:00,15:00,600311,600311
8cb2338c6db212263d1f01b8442f0286,F,12:00,14:00,noEligibleTA,noEligibleTA
c7e7eb7d3ecb1dcbdbe691499585f03c,W,16:00,18:00,noEligibleTA,noEligibleTA
0587c935e92367bce3f14d32b94917f4,W,10:00,12:00,500063,500063
1f06ab44c05e37299e3e96f49bccdae9,W,10:00,12:00,500190,500190
24a111d8e593db8e24e04dd8a6289855,R,10:00,12:00,500190,500190
8c13de0e7b95d4f051c33f7c51609cfe,W,12:00,14:00,500212,500212
b411c6405e9f6c87dfd60a5277c0be51,R,16:00,18:00,500216,500216
6ccc33b19b613329b81b429af7ed031b,F,14:00,16:00,500216,600112
e51a58405310dde46143b38915e43b1e,M,10:00,12:00,500258,500258
998fbad9d730f2692ffd4a0ccc67e145,M,16:00,18:00,600100,600100
f42b58fac34cd6ebc3ac3b13e1999c7c,T,12:00,14:00,600103,600146
50441581d313d374bfd20a50f1def51d,R,12:00,14:00,600112,600112
49c3b6632994391438449ae02672f864,F,10:00,12:00,600112,600199
f8563fe94226fb9e26ea5c62f7cf12d0,T,10:00,12:00,600112,600306
0f1feef9dd9d8a8a98837706232e313c,M,8:00,10:00,600113,600302
17816b2d69bdab97a3cf5e39596d04af,T,14:00,16:00,600113,600113
7d14e6b9bdf91aaf1d0d6fb76e5ce001,M,12:00,14:00,600113,600113
949430f84638c284e96228fb53df1cdb,F,12:00,14:00,600114,500190
a612b2704f52e29082756c59f4b4ca05,F,14:00,16:00,600114,500216
300213520ffe7d34fc63364436e170fe,W,8:00,10:00,600199,500258
eca6d43f5989c9b7a4ea68fd49ba212e,T,16:00,18:00,600199,600199
2b0bf8fe338227286e37c9ed13ec54a8,M,10:00,12:00,600199,500216
a8409f13d02f152c1815d6303e7e986d,F,14:00,16:00,600118,600145
e1422e52c6f7d77009cf00bf52c7ee0f,M,16:00,18:00,600145,600302
766b9e91477ba6dd87a2b8c67f24ace7,W,16:00,18:00,600205,600208
ad671319f0520f8e9f6112dfed3a2de3,W,14:00,16:00,600205,600317
882537cd887c7b05d99760532daa8dec,M,12:00,14:00,600205,600145
f7632a844cfb345709057d18a1426992,W,10:00,12:00,600317,600317
b5279ec59309922026fb64bde9fcff25,R,8:30,9:30,600097,600300
c0b2110827f8b886940b025e8872893f,R,12:30,16:30,600300,600300
0922a031f2751ad4fcf444e5bf006221,M,14:00,16:00,600318,600319
da545a2044ad3df3a498a3ff984929bb,W,16:00,18:00,600318,600318
20021d8f9f7c2d0ab32a25de49b0f175,R,14:00,16:00,600319,600318
7b0f5fd60269108d30ee9dc935ce98db,M,8:00,10:00,600319,600318
64843ba744ed5ae65baafc1dd2c40d43,R,12:30,16:30,600097,600299
b7824d5060aaac7d3feb116e297a5de8,T,8:30,9:30,600097,600097
342025373477287aa070f464111ff6aa,W,12:30,16:30,600206,600297
4f8a909e4ab78f6b6797f15250d9da39,W,8:30,9:30,600297,600297
50709fdf954f768f56171e616c4b1536,T,12:30,16:30,600094,600094
b6a23446dea2adae91f5f51f9051781e,T,8:30,9:30,600094,600094
ef03c23c611453099cb94d9f3b0ca28b,W,8:00,9:00,600100,600100
5e78f9c7ff6fa2e7d266d4947d6560ea,F,11:00,12:00,600202,600202
61443ae7abf009a3d338f9d571ca3241,W,13:00,14:00,600207,600207
ad05cf47a13d36196fa4563dd379e297,M,16:00,17:00,600313,600313
71a132bd8667e8742bb6318dd4983de9,W,16:00,17:00,600313,600319
591458ca31fcac196be716ac0799e2b2,M,10:00,12:00,500062,500062
8f545c4fd4e94fc7f7769636ea7cb5f2,M,14:00,16:00,500082,500082
6e43fc9e33a4a3d6e33b0bcf0b678459,F,14:00,16:00,600117,600314
1f0f538c4633459a0a7ac774915abd7a,R,10:00,12:00,600117,600198
48f8ec4401f04eb9631483e017a53063,R,9:30,12:30,600106,600205
200462e570494263a8f242832567dcc2,M,12:30,16:30,600209,600095
4c922e5cdf68c60305766c964f2a83ef,W,8:30,9:30,600209,600095
5ebd807455746d4e935bd9aeba5d8c4a,W,10:00,12:00,500124,500124
7061b2d097fdb382e6851bc933b48a2f,F,8:00,10:00,500240,500240
bb82bdf5d7708b45bf505d885476874a,F,16:00,18:00,600111,600111
324e0aa4fa15aa1a5f60dafe3b0a96cb,F,14:00,16:00,600143,600143
90e99cf67c63003bbdde64abc2ff463b,W,14:00,16:00,600312,600312
77bb159d6322d45f22282405737bafb1,M,10:00,12:00,600316,600316
e6317082885ea37d5e707c9778754ada,T,14:00,16:00,600148,600148
0f1abab1c2492bddfd03a21ab062da64,T,8:30,9:30,600095,600095
eb9c70bc39ae0ccb8a8cee6d1a67176a,W,12:30,16:30,600209,600209
62a5122c8b71279658e73950016087a6,R,8:30,9:30,600105,600303
5f053c3559fe584132abf84405525b05,T,12:30,16:30,600303,600105
d9012746b2c243f80787489f3e2a0881,F,9:00,10:00,600106;600208,600208
f95cf73a2c3d92a06f2328b1950b0721,W,13:00,14:00,600298;600312,600298
648505aee612359e735ab74224a0381b,T,13:00,14:00,600298;600312,600298
